"代码","名称","最新价","涨跌额","涨跌幅","市值","成交量","成交额","买入价","卖出价","买量","卖量","今开","昨收","最高","最低","量比","委比","振幅","市盈率(静)","换手率","涨跌速率","5分钟涨跌幅","5日涨跌幅","10日涨跌幅","20日涨跌幅","60日涨跌幅","120日涨跌幅","250日涨跌幅","年初至今","所属行业"
"CEPV","Cantor Equity Partners V, Inc.","10.360","0.000","0.00%","329344400.00","124","1274.00","10.240","10.700","700","1000","10.360","10.360","10.360","10.360","0.07","-17.65%","0.00%","265.641","0.00%","0.00%","0.00%","-0.29%","-0.19%","-0.19%","+0.39%","+2.68%","+0.58%","+1.07%","空壳公司"
"GOGO","Gogo Inc","2.430","-0.090","-3.57%","329284104.66","4209268","10213655.00","2.450","2.600","200","1000","2.480","2.520","2.495","2.390","3.52","-66.67%","4.17%","27.000","4.36%","-0.21%","+0.62%","-7.25%","-8.30%","-7.60%","-25.69%","-43.62%","-72.64%","-47.85%","电信服务"
"IA","创新软件","18.380","-0.020","-0.11%","328986799.74","688356","12626216.00","17.950","19.990","100","100","18.300","18.400","18.450","17.960","2.35","0.00%","2.66%","20.886","4.04%","-0.80%","+0.05%","-3.67%","+0.16%","-12.18%","+10.46%","-14.51%","+61.23%","-2.96%","航空航天与国防"
"FERA","FIFTH ERA ACQUISITION CORPORATION I","10.520","0.000","0.00%","328925336.84","242","2548.00","10.460","16.840","1000","200","10.520","10.520","10.520","10.520","0.02","66.67%","0.00%","79.696","0.00%","0.00%","0.00%","0.00%","0.00%","+0.38%","+0.86%","+2.24%","+3.34%","+2.24%","空壳公司"
"CATX","Perspective Therapeutics","2.880","0.000","0.00%","328756789.44","11636161","33388393.00","2.910","2.920","100","100","2.890","2.880","2.940","2.770","7.03","0.00%","5.90%","亏损","17.04%","-0.00%","+0.52%","+2.49%","-7.69%","-10.28%","-4.00%","-29.24%","-9.72%","+4.73%","医疗设备"
"BCML","BayCom","30.100","-0.210","-0.69%","328695521.70","128358","3857853.00","12.040","31.950","200","100","30.120","30.310","30.240","29.640","3.60","33.33%","1.98%","13.807","1.27%","0.20%","+0.84%","0.00%","-0.05%","+1.11%","-6.80%","+5.60%","+5.25%","+5.48%","地区银行"
"RCKY","Rocky Brands","43.870","+0.390","+0.90%","328670135.57","133016","5799071.00","34.830","49.500","100","100","43.140","43.480","44.210","42.490","2.56","0.00%","3.96%","14.820","1.90%","0.05%","-0.09%","-0.72%","+0.80%","-5.05%","+8.33%","+16.67%","+53.40%","+51.32%","鞋类及配饰"
"PCAP","ProCap Acquisition Corp","10.370","0.000","0.00%","328521600.00","145","1504.00","10.170","10.400","1000","1100","10.370","10.370","10.370","10.370","0.00","-4.76%","0.00%","39.884","0.00%","0.00%","0.00%","0.00%","0.00%","+0.10%","+0.97%","+1.87%","+1.17%","+2.37%","空壳公司"
"SOHU","搜狐","12.570","-0.855","-6.37%","327687606.54","873441","11027620.00","11.750","13.960","100","100","13.320","13.425","13.320","12.300","13.06","0.00%","7.60%","0.900","6.00%","0.24%","-0.16%","-8.08%","-9.24%","-12.86%","+3.71%","-17.74%","-19.32%","-19.63%","电子游戏与多媒体"
"DRDB","Roman DBDR Acquisition Corp. II","10.680","+0.010","+0.09%","327520003.56","318","3394.00","6.140","17.070","100","200","10.670","10.670","10.680","10.670","1.93","-33.33%","0.09%","42.380","0.00%","0.00%","0.00%","+0.09%","+0.09%","+0.56%","+1.42%","+1.97%","+3.79%","+2.40%","空壳公司"
"SZZL","Sizzle Acquisition Corp II","10.470","-0.010","-0.10%","327362003.49","461","4828.00","10.360","10.480","100","800","10.480","10.480","10.480","10.470","0.07","-77.78%","0.10%","50.579","0.00%","0.00%","0.00%","+0.05%","+0.19%","+0.19%","+0.96%","+2.15%","+3.97%","+3.05%","空壳公司"
"ELVA","Electrovaya","6.610","+0.120","+1.85%","327244442.80","313906","2046739.00","6.400","6.750","100","500","6.550","6.490","6.620","6.380","0.86","-66.67%","3.70%","82.625","0.98%","0.08%","+0.65%","+2.80%","-2.00%","-1.05%","-30.79%","-10.68%","-5.57%","-16.33%","电气设备及零件"
"OBA","OXLEY BRIDGE ACQUISITION LTD","10.335","-0.005","-0.05%","326844375.00","544592","5625648.00","5.400","16.540","100","200","10.330","10.340","10.335","10.330","26.27","-33.33%","0.05%","68.443","2.15%","0.00%","0.00%","+0.14%","-0.05%","+0.34%","+0.93%","+1.62%","+3.97%","+2.53%","空壳公司"
"OPAL","OPAL Fuels","1.870","-0.040","-2.09%","326794806.47","178258","337148.00","1.870","1.990","200","500","1.930","1.910","1.930","1.860","1.03","-42.86%","3.66%","12.466","1.06%","-0.80%","-0.53%","-1.06%","-5.56%","-12.21%","-6.97%","-16.14%","-15.00%","-20.59%","建筑工程"
"JMSB","John Marshall Bancorp","23.150","+0.030","+0.13%","326695902.10","86683","2003698.00","22.850","28.980","100","6100","22.920","23.120","23.300","22.810","1.01","-96.77%","2.12%","15.536","0.70%","0.47%","-0.02%","+0.43%","-0.77%","+0.56%","+5.96%","+16.46%","+14.06%","+17.31%","地区银行"
"FLXS","Flexsteel Industries","79.690","+0.230","+0.29%","326070840.29","157064","12512863.00","76.660","84.590","500","100","79.595","79.460","80.980","77.560","1.07","66.67%","4.30%","13.128","4.34%","-0.27%","+0.30%","-2.10%","-0.85%","-0.42%","+17.47%","+75.30%","+67.99%","+103.45%","家具、灯具与家电"
"HBANL","HUNTINGTON BANCSHARES INC DEP SHS REPSTG 1/40TH INT NON CUM PERP J","25.060","-0.010","-0.04%","325780000.00","26866","675395.00","25.000","25.510","700","100","25.200","25.070","25.200","25.050","1.08","75.00%","0.60%","-","0.21%","0.04%","+0.04%","+0.16%","-0.40%","-1.18%","+1.06%","+3.06%","+3.45%","+2.21%","地区银行"
"TDUP","ThredUp","2.480","+0.060","+2.48%","325707452.00","10118581","24981156.00","2.410","2.480","200","100","2.390","2.420","2.490","2.360","5.60","33.33%","5.37%","亏损","9.70%","0.20%","+0.20%","-4.98%","-7.12%","-9.82%","-62.08%","-22.01%","-76.45%","-61.19%","互联网零售"
"RTAC","Renatus Tactical Acquisition Corp I","10.440","-0.010","-0.10%","325323846.72","51320","535718.00","10.420","10.440","4000","200","10.435","10.450","10.450","10.430","0.12","90.48%","0.19%","64.444","0.23%","0.04%","+0.04%","-0.19%","-1.51%","-0.10%","+0.29%","+1.56%","-3.87%","-2.16%","空壳公司"
"PSFE","Paysafe","6.230","-0.030","-0.48%","325302390.56","522136","3258072.00","6.100","6.850","100","500","6.220","6.260","6.310","6.120","1.85","-66.67%","3.04%","亏损","2.13%","-0.24%","-0.80%","-1.74%","-8.25%","-5.46%","-7.70%","-5.89%","-55.05%","-22.99%","软件基础设施"
"CRAQ","Cal Redwood Acquisition","10.370","0.000","0.00%","324849583.00","116","1202.00","4.160","16.640","200","200","10.370","10.370","10.370","10.370","0.00","0.00%","0.00%","45.086","0.00%","0.00%","0.00%","-0.19%","-0.10%","+0.19%","+0.78%","+1.77%","+3.44%","+2.27%","空壳公司"
"FVCB","FVCBankcorp","18.010","-0.130","-0.72%","324796032.05","182670","3289448.00","7.240","28.960","200","200","18.030","18.140","18.147","17.610","2.40","0.00%","2.96%","14.654","1.20%","-0.44%","+0.11%","-2.49%","-2.31%","-2.81%","+3.85%","+21.64%","+36.82%","+31.09%","地区银行"
"OEC","Orion SA","5.730","-0.100","-1.72%","323875065.27","1071442","6140659.00","5.640","7.750","100","2000","5.760","5.830","5.790","5.640","2.86","-90.48%","2.57%","亏损","2.09%","0.17%","-0.09%","-1.21%","-4.02%","-5.91%","-15.92%","-4.83%","-31.42%","+9.71%","特殊化工用品"
"EVOX","EVOLUTION GLOBAL ACQUISITION CORP","10.110","-0.010","-0.10%","323520000.00","833322","8425013.00","9.900","16.190","100","200","10.120","10.120","10.120","10.110","51.28","-33.33%","0.10%","-","3.93%","0.00%","0.00%","-0.10%","-0.20%","+0.20%","+1.00%","+1.51%","+2.22%","+2.43%","空壳公司"
"ELA","Envela","12.460","-1.210","-8.85%","323504910.96","244917","3084952.00","12.350","13.950","100","1600","13.480","13.670","13.480","12.350","1.23","-88.24%","8.27%","22.250","3.63%","0.56%","-0.64%","-7.43%","-9.32%","-11.63%","-53.30%","-26.53%","+56.53%","-6.88%","奢侈品"
"FOSL","福斯尔集团","5.470","-0.160","-2.84%","323485144.44","1367767","7489622.00","5.250","5.750","7100","800","5.630","5.630","5.630","5.390","2.26","79.75%","4.26%","亏损","2.82%","0.18%","-0.36%","+15.64%","+6.63%","-1.97%","+35.73%","+37.44%","+82.33%","+45.48%","鞋类及配饰"
"ALDF","ALDEL FINL II INC","10.820","0.000","0.00%","323174075.48","141","1523.00","10.710","10.880","100","100","10.820","10.820","10.820","10.820","0.00","0.00%","0.00%","35.016","0.00%","0.00%","0.00%","0.00%","+0.14%","+0.46%","+1.50%","+2.56%","+4.14%","+3.15%","空壳公司"
"KOYN","CSLM Digital Asset Acquisition Corp III, Ltd","10.230","0.000","0.00%","322837490.91","1135","11612.00","10.050","16.360","1000","200","10.238","10.230","10.238","10.230","0.01","66.67%","0.08%","85.540","0.00%","0.00%","0.00%","0.00%","-0.10%","-0.10%","+0.94%","+1.99%","+2.92%","+2.81%","空壳公司"
"SMTI","Sanara MedTech","35.070","+0.090","+0.26%","322224387.45","271136","9509880.00","23.000","40.010","100","1000","34.980","34.980","35.130","34.935","1.85","-81.82%","0.56%","亏损","7.20%","-0.03%","-0.17%","+0.43%","+1.01%","+2.42%","+53.21%","+106.78%","+6.63%","+50.19%","医疗设备和用品"
"COSO","CoastalSouth Bancshares","26.910","-0.340","-1.25%","321694141.86","292589","7916762.00","0.000","43.640","0","100","27.200","27.250","27.490","26.740","1.59","-100.00%","2.75%","12.458","3.28%","-0.59%","-0.15%","-2.07%","-2.85%","-1.25%","-0.78%","+12.13%","+13.39%","+16.41%","地区银行"
"IACQ","IRENIC ACQUISITION CORPORATION","9.950","-0.040","-0.40%","321101912.55","364","3618.00","9.900","10.090","600","100","9.920","9.990","9.950","9.920","1.77","71.43%","0.30%","-","0.00%","0.00%","0.00%","-0.40%","-0.40%","+0.20%","-0.10%","0.00%","0.00%","0.00%","空壳公司"
"IKT","Inhibikase Therapeutics","2.300","0.000","0.00%","320932570.00","3209727","7387773.00","2.250","2.600","100","4800","2.310","2.300","2.345","2.280","7.59","-95.92%","2.83%","亏损","4.97%","0.00%","0.00%","-1.71%","-8.73%","-2.13%","+22.99%","+36.90%","+40.24%","+12.20%","生物技术"
"PMTR","Perimeter Acquisition Corp. I","10.410","-0.010","-0.10%","320893455.00","131003","1363755.00","10.400","10.410","2500","1000","10.415","10.420","10.420","10.410","0.55","42.86%","0.10%","49.571","0.63%","0.00%","0.00%","-0.10%","-0.14%","0.00%","0.00%","+1.36%","+1.66%","+1.26%","空壳公司"
"CAES","Cantor Equity Partners VII, Inc","10.070","-0.010","-0.10%","320729500.00","22932","230929.00","5.830","13.000","100","1000","10.080","10.080","10.080","10.070","1.20","-81.82%","0.10%","亏损","0.09%","0.00%","0.00%","0.00%","-0.10%","0.00%","-0.10%","-0.40%","-0.40%","-0.40%","空壳公司"
"CHSCP","CHS INC 8% PRF USD25","26.100","-0.090","-0.34%","320299278.30","10365","270974.00","26.100","26.500","100","200","26.170","26.190","26.220","26.070","0.52","-33.33%","0.57%","-","0.08%","0.00%","0.00%","-0.12%","-0.60%","-0.34%","-1.34%","-1.98%","-5.86%","-0.48%","农产品"
"MNTK","Montauk Renewables","2.250","+0.050","+2.27%","320267562.75","801694","1798038.00","2.250","2.300","200","200","2.200","2.200","2.290","2.160","1.78","0.00%","5.91%","225.000","1.23%","0.22%","-0.44%","-14.77%","0.00%","+19.05%","+44.23%","+85.95%","+7.66%","+34.73%","特殊化工用品"
"SABS","SAB Biotherapeutics","3.510","+0.010","+0.29%","319362151.68","1973521","6929079.00","3.310","3.740","300","200","3.490","3.500","3.565","3.490","4.79","20.00%","2.14%","亏损","3.18%","-0.43%","-0.14%","+2.93%","-5.65%","-5.14%","-8.59%","-8.83%","+42.11%","-6.15%","生物技术"
"MPTI","M-tron Industries","73.470","-1.450","-1.94%","319335591.72","68943","5098166.00","0.000","80.450","0","100","74.960","74.920","75.990","73.270","0.78","-100.00%","3.63%","28.041","1.69%","-0.16%","-0.26%","-7.57%","+1.32%","-9.05%","-18.47%","+6.43%","+39.89%","+38.05%","电子元件"
"JACS","Jackson Acquisition Company II","10.775","+0.015","+0.14%","318832250.00","3506","37778.00","0.000","10.980","0","100","10.800","10.760","10.800","10.760","0.06","-100.00%","0.37%","34.758","0.02%","-0.14%","-0.14%","+0.14%","+0.33%","+0.33%","+1.27%","+1.75%","+4.01%","+3.41%","空壳公司"
"MLP","毛伊岛菠萝食品","16.050","+0.230","+1.45%","318739437.75","36212","576792.00","14.830","18.500","100","500","15.720","15.820","16.225","15.450","2.81","-66.67%","4.90%","亏损","0.49%","0.75%","-0.06%","-1.47%","-2.37%","+3.02%","-9.48%","+5.18%","-15.79%","-5.25%","房地产服务"
"RNGT","Range Capital Acquisition Corp II","10.170","0.000","0.00%","318592203.39","106","1078.00","10.060","10.200","1000","100","10.170","10.170","10.170","10.170","0.00","81.82%","0.00%","-","0.00%","0.00%","0.00%","0.00%","+0.10%","+0.39%","+0.79%","+1.85%","+1.70%","+1.90%","空壳公司"
"ABEO","Abeona Therapeutics","5.570","-0.020","-0.36%","318514974.69","2772456","15537281.00","5.570","5.740","100","200","5.820","5.590","5.840","5.525","1.31","-33.33%","5.64%","5.514","7.53%","0.09%","+0.18%","+2.86%","-6.07%","-6.54%","-0.89%","+29.84%","+3.53%","+5.69%","生物技术"
"FDBC","Fidelity D & D Bancorp","54.830","+0.630","+1.16%","318480493.64","49528","2706368.00","51.000","86.240","2500","200","53.630","54.200","55.250","53.310","3.26","85.19%","3.58%","11.281","1.12%","-0.66%","+0.51%","+0.15%","-0.35%","+0.92%","+8.95%","+30.38%","+28.96%","+29.37%","地区银行"
"FXHO","联代科技","12.120","+0.600","+5.21%","318469131.72","12877","157423.00","11.500","12.550","1000","800","11.540","11.520","12.830","11.540","0.13","11.11%","11.20%","亏损","0.05%","-0.90%","-3.50%","-1.62%","-1.06%","+13.59%","+104.73%","-57.92%","-99.80%","-76.24%","消费电子产品"
"AIRJ","AirJoule Technologies","4.330","+0.100","+2.36%","317594216.02","1319255","5678472.00","4.330","4.450","100","1000","4.230","4.230","4.415","4.190","1.48","-81.82%","5.32%","亏损","3.51%","0.12%","-0.80%","+1.17%","-2.70%","-14.09%","-12.70%","+47.28%","-8.65%","+9.90%","建筑产品与设备"
"METCB","Ramaco Resources-B","5.010","-0.060","-1.18%","317575077.39","247843","1241292.00","4.790","5.020","100","100","5.070","5.070","5.180","4.930","1.65","0.00%","4.93%","亏损","0.57%","0.10%","-0.20%","-16.36%","-19.80%","-18.65%","-43.35%","-51.68%","-69.60%","-55.16%","焦炭"
"TVA","Texas Ventures Acquisition III Corp","10.580","+0.020","+0.19%","317400000.00","372225","3934689.00","10.560","10.690","30000","100","10.560","10.560","10.610","10.560","2.01","99.34%","0.47%","40.692","1.93%","0.09%","+0.05%","+0.28%","+0.28%","+0.38%","+1.15%","+2.12%","+4.44%","-0.66%","空壳公司"
"ALIT","Alight","11.770","-0.520","-4.23%","317073124.61","731663","8649614.00","11.400","14.200","100","100","12.250","12.290","12.250","11.705","1.87","0.00%","4.43%","亏损","3.16%","0.08%","-0.42%","-1.59%","-20.95%","-12.23%","+2.74%","+8.48%","-82.07%","-69.82%","应用软件"
"FCCO","第一社区","33.730","-0.070","-0.21%","317052926.63","123513","4161343.00","13.440","33.750","200","200","33.520","33.800","34.200","33.295","3.22","0.00%","2.68%","13.655","1.43%","0.45%","-0.87%","-1.09%","-0.91%","-0.68%","+3.53%","+19.46%","+18.27%","+15.54%","地区银行"
"PSBD","Palmer Square Capital BDC","10.330","-0.070","-0.67%","316627112.93","52435","542588.00","10.270","10.580","100","100","10.380","10.400","10.490","10.270","0.62","0.00%","2.12%","亏损","0.23%","0.10%","0.00%","+1.67%","-0.29%","+0.88%","-0.69%","+8.27%","-11.89%","-9.16%","资产管理"
"AIV","公寓投管","2.180","-0.040","-1.80%","316616437.64","1028296","2256002.00","2.050","2.440","300","100","2.200","2.220","2.225","2.175","0.60","50.00%","2.25%","0.563","0.96%","0.00%","0.00%","-9.17%","-14.17%","-16.48%","-25.34%","-20.73%","-25.72%","-29.72%","住宅REITs"
"SAC","SAFEGUARD ACQUISITION CORP","10.090","-0.010","-0.10%","316489670.03","200600","2026056.00","9.910","10.340","100","100","10.100","10.100","10.100","10.090","0.38","0.00%","0.10%","-","0.94%","0.00%","0.00%","-0.20%","-0.10%","0.00%","+0.70%","+1.10%","+0.90%","+0.90%","空壳公司"
"FTW","Presidio Production","10.100","-0.150","-1.46%","316390731.50","85015","863155.00","10.100","10.390","100","100","10.280","10.250","10.300","10.030","1.13","0.00%","2.63%","亏损","0.66%","-1.04%","-0.42%","-3.35%","-7.00%","-8.91%","-13.88%","-4.28%","+1.06%","+0.20%","油气勘探与开发"
"POLE","Andretti Acquisition Corp II","10.720","0.000","0.00%","316347200.00","238","2551.00","10.710","10.900","1900","800","10.720","10.720","10.720","10.720","0.00","40.74%","0.00%","38.285","0.00%","0.00%","0.00%","0.00%","-0.65%","-1.38%","-0.28%","+0.85%","+2.49%","+2.00%","空壳公司"
"SUPX","SuperX AI Technology","7.310","-0.550","-7.00%","316077609.01","1156199","8690519.00","7.200","7.470","1000","400","7.880","7.860","8.075","7.080","1.06","42.86%","12.66%","亏损","3.78%","-0.27%","+3.10%","-5.56%","-18.51%","+7.50%","-12.14%","-17.96%","-86.77%","-53.38%","软件基础设施"
"ATII","ARCHIMEDES TECH SPAC PARTNERS II CO","10.670","+0.005","+0.05%","315725300.00","1817885","19389615.00","10.660","10.680","500","5300","10.670","10.665","10.680","10.650","9.85","-82.76%","0.28%","35.566","7.80%","0.00%","+0.05%","+0.28%","+0.28%","+0.38%","-0.93%","+2.11%","+4.61%","+2.99%","空壳公司"
"AEAQ","Activate Energy Acquisition Corp","10.080","0.000","0.00%","315621603.36","409268","4125422.00","5.800","16.090","100","100","10.080","10.080","10.080","10.080","4.06","0.00%","0.00%","-","1.91%","0.00%","0.00%","0.00%","-0.20%","-0.05%","+0.80%","+1.92%","+1.72%","+1.72%","空壳公司"
"XNET","迅雷","4.950","+0.050","+1.02%","315515227.50","216961","1074310.00","4.930","5.030","600","200","4.945","4.900","5.015","4.880","1.23","50.00%","2.76%","0.298","0.76%","-0.32%","-0.22%","+1.02%","+1.02%","-1.79%","+1.85%","-11.29%","-36.05%","-30.18%","软件基础设施"
"MZYX.U","MOZAYYX ACQUISITION CORPORATION UNITS CONS 1 CL A & 1 QTR OF 1 RED WT","10.090","0.000","0.00%","315312500.00","242","2442.00","0.000","0.000","0","0","10.090","10.090","10.090","10.090","0.12","0.00%","0.00%","-","0.00%","0.00%","0.00%","-0.10%","-0.10%","-0.98%","+0.80%","+0.90%","+0.90%","+0.90%","空壳公司"
"SAAQ","Space Asset Acquisition Corp","10.070","0.000","0.00%","315308486.69","21480","216404.00","10.010","10.320","1000","1000","10.080","10.070","10.080","10.070","0.18","0.00%","0.10%","-","0.12%","-0.05%","-0.05%","-0.30%","-0.40%","-0.44%","-0.59%","+1.00%","+1.61%","+1.61%","空壳公司"
"IPXG","INFLECTION POINT ACQUIS CORP VII","10.060","+0.010","+0.10%","315196570.02","12674","127364.00","10.020","10.070","1000","1000","10.045","10.050","10.060","10.045","0.83","0.00%","0.15%","-","0.06%","-0.10%","+0.10%","+0.00%","+0.15%","+0.30%","+0.70%","+2.34%","+2.55%","+2.55%","空壳公司"
"TLSI","TriSalus Life Sciences","5.100","+0.200","+4.08%","314030460.00","606959","3079412.00","5.010","6.300","100","100","4.910","4.900","5.110","4.830","4.77","0.00%","5.71%","亏损","1.18%","0.00%","+1.29%","+9.32%","+2.41%","-2.49%","+22.60%","+32.47%","+4.08%","-26.93%","医疗设备"
"QTTB","Q32 Bio","10.540","-0.320","-2.95%","313770171.64","972338","10281584.00","10.400","11.470","100","5000","10.840","10.860","10.970","10.460","1.16","-96.08%","4.70%","4.355","4.65%","-0.64%","-0.28%","-5.05%","-17.66%","-33.54%","-5.56%","+45.38%","+469.73%","+217.47%","生物技术"
"AACO","ABONY ACQUISITION CORPORATION I","9.990","0.000","0.00%","313303053.33","89","889.00","9.870","16.000","900","200","9.990","9.990","9.990","9.990","0.01","63.64%","0.00%","-","0.00%","0.00%","0.00%","0.00%","+0.20%","+0.10%","+0.91%","+0.40%","+0.40%","+0.40%","空壳公司"
"HRZN","Horizon Technology Finance","4.670","-0.050","-1.06%","313048355.03","313223","1459448.00","4.600","4.730","700","900","4.650","4.720","4.710","4.600","0.42","-12.50%","2.33%","亏损","0.47%","0.64%","-0.21%","-2.83%","-2.03%","-3.22%","+16.78%","+26.95%","-13.43%","-15.15%","资产管理"
"LEGO","LEGATO MRG CORP IV","10.000","0.000","0.00%","312666670.00","393","3927.00","0.000","0.000","0","0","10.000","10.000","10.000","10.000","0.01","0.00%","0.00%","-","0.00%","0.00%","0.00%","0.00%","+0.10%","+0.00%","+0.81%","+1.32%","+0.50%","+0.50%","空壳公司"
"CAQ","CAMBRIDGE ACQUISITION CORP","10.029","+0.039","+0.39%","312525372.84","223","2233.00","9.750","10.250","1000","500","10.029","9.990","10.029","10.029","0.01","33.33%","0.00%","-","0.00%","0.00%","0.00%","-0.01%","-0.01%","+0.49%","+1.30%","+0.79%","+0.79%","+0.79%","空壳公司"
"ILLU","ILLUMINATION ACQUISITION CORP I","9.980","0.000","0.00%","312290836.66","104","1038.00","9.930","15.960","100","200","9.980","9.980","9.980","9.980","0.00","-33.33%","0.00%","-","0.00%","0.00%","0.00%","0.00%","-0.15%","+0.10%","+0.81%","+0.60%","+0.60%","+0.60%","空壳公司"
"MTAL","METALS ACQUISITION CORPORATION II","10.170","+0.010","+0.10%","311880003.39","572","5819.00","0.000","0.000","0","0","10.150","10.160","10.210","10.150","0.02","0.00%","0.59%","-","0.00%","0.10%","+0.10%","-0.29%","-0.49%","-0.49%","+0.10%","0.00%","0.00%","0.00%","空壳公司"
"SVIV","SPRING VY ACQUISITION CORP IV","10.150","0.000","0.00%","311266670.05","443","4505.00","10.150","10.280","100","100","10.150","10.150","10.150","10.150","0.10","0.00%","0.00%","-","0.00%","0.00%","0.00%","-0.29%","-0.44%","-0.49%","-0.49%","+2.53%","+1.30%","+1.30%","空壳公司"
"RAC","Rithm Acquisition Corp.","10.580","0.000","0.00%","311157800.00","141","1490.00","0.000","0.000","0","0","10.580","10.580","10.580","10.580","0.39","0.00%","0.00%","-","0.00%","0.00%","0.00%","0.00%","+0.38%","+0.67%","+1.44%","+1.44%","+3.22%","+1.83%","空壳公司"
"LPBB","Launch Two Acquisition Corp","10.820","0.000","0.00%","311075000.00","44012","476300.00","10.810","10.880","5000","100","10.820","10.820","10.845","10.820","0.36","96.08%","0.23%","34.903","0.21%","0.00%","0.00%","0.00%","+0.19%","+0.28%","+0.93%","+2.27%","+4.02%","+3.15%","空壳公司"
"SLNH","Soluna Holdings","1.260","+0.070","+5.88%","310844579.22","15983920","19960041.00","1.260","1.270","3900","6100","1.200","1.190","1.280","1.200","2.84","-22.00%","6.72%","亏损","8.46%","-0.40%","0.00%","+5.88%","+5.00%","+5.88%","-8.03%","+104.51%","+16.67%","+7.69%","资本市场"
"ABAT","American Battery Technology","2.180","-0.060","-2.68%","310819512.44","6021204","13130520.00","2.180","2.210","1100","11800","2.240","2.240","2.260","2.130","1.56","-82.95%","5.80%","亏损","4.38%","0.23%","-0.68%","-11.74%","-19.85%","-6.44%","-19.26%","-18.05%","-33.94%","-34.73%","废物管理"
"LWAC","LightWave Acquisition Corp","10.330","+0.010","+0.10%","310674750.00","225624","2328663.00","5.960","10.350","100","100","10.330","10.320","10.330","10.320","2.19","0.00%","0.10%","-","1.02%","0.00%","0.00%","+0.10%","-0.10%","-0.19%","+1.18%","+2.28%","+3.40%","+2.99%","空壳公司"
"ALTO","Alto Ingredients","4.000","-0.020","-0.50%","310273840.00","3176692","12665030.00","3.910","4.100","200","1000","4.020","4.020","4.030","3.910","3.25","-66.67%","2.99%","25.000","4.59%","-0.13%","+0.76%","+2.56%","-0.74%","-4.31%","-20.79%","-11.31%","+336.11%","+38.89%","特殊化工用品"
"VNDA","万达生物制药","5.130","+0.020","+0.39%","310173584.31","1658566","8482535.00","5.130","5.190","100","100","5.085","5.110","5.150","5.035","2.46","0.00%","2.25%","亏损","3.48%","0.29%","+0.79%","+0.79%","-3.93%","-4.65%","-13.05%","-25.76%","+14.25%","-41.84%","生物技术"
"SEG","Seaport Entertainment Group","24.140","-0.390","-1.59%","309222199.04","108022","2626762.00","20.000","31.000","300","100","24.530","24.530","24.985","24.070","1.48","50.00%","3.73%","亏损","1.42%","0.50%","-0.08%","-5.11%","-7.47%","-10.96%","-10.66%","+15.72%","0.00%","+22.10%","房地产服务"
"VHCP","VINE HILL CAPITAL INVEST CORP II","10.070","0.000","0.00%","308813336.69","97","981.00","5.820","10.120","100","100","10.070","10.070","10.070","10.070","0.00","0.00%","0.00%","-","0.00%","0.00%","0.00%","0.00%","0.00%","+0.30%","+0.60%","+1.72%","+1.00%","+1.00%","空壳公司"
"ITHA","ITHAX ACQUISITION CORP III","10.070","+0.020","+0.20%","308813336.69","25305","254317.00","4.020","16.010","200","100","10.050","10.050","10.070","10.050","0.35","33.33%","0.20%","-","0.11%","0.00%","0.00%","+0.20%","+0.20%","+0.40%","+1.00%","+2.03%","+1.82%","+1.82%","空壳公司"
"CBNA","Chain Bridge Bancorp","47.020","+0.080","+0.17%","308536635.34","22285","1046182.00","37.840","47.970","100","1000","46.940","46.940","47.220","45.200","0.95","-81.82%","4.30%","15.266","0.67%","-0.42%","-0.11%","+1.51%","+0.36%","+1.66%","+25.35%","+34.65%","+44.90%","+35.74%","地区银行"
"CCCT","COLUMBUS CIRCLE CAP CORP III","9.840","0.000","0.00%","308303603.28","191","1879.00","9.740","10.000","100","100","9.840","9.840","9.840","9.840","0.00","0.00%","0.00%","-","0.00%","0.00%","0.00%","0.00%","+0.10%","+0.31%","+0.31%","+0.31%","+0.31%","+0.31%","空壳公司"
"BDSX","Biodesix","29.200","+0.390","+1.35%","308092645.60","100880","2952237.00","27.410","34.000","100","200","28.520","28.810","29.960","28.385","1.51","-33.33%","5.47%","亏损","2.03%","0.45%","+0.69%","+8.29%","+10.29%","+21.51%","+56.40%","+105.49%","+309.54%","+329.41%","诊断与研究"
"IFRX","InflaRx","2.090","+0.030","+1.46%","307999581.89","292676","607915.00","2.050","2.120","300","1000","2.070","2.060","2.110","2.025","0.50","-53.85%","4.11%","亏损","0.30%","-0.48%","+0.48%","0.00%","-6.28%","+3.47%","+8.29%","+129.19%","+55.97%","+106.93%","生物技术"
"HLLY","Holley","2.540","-0.110","-4.15%","307934723.22","1853967","4734774.00","2.190","2.610","4700","1000","2.630","2.650","2.640","2.540","1.25","64.91%","3.77%","15.875","2.29%","-0.59%","-0.78%","-5.58%","-18.06%","-16.45%","+4.10%","-12.71%","-22.09%","-38.50%","汽车零件"
"TMTS","SPARTACUS ACQUISITION CORP II","10.040","-0.010","-0.10%","307893336.68","265673","2667413.00","9.800","16.060","1000","200","10.050","10.050","10.050","10.040","5.14","66.67%","0.10%","-","1.38%","0.00%","0.00%","-0.20%","-0.30%","-0.30%","+0.40%","+1.21%","+1.21%","+1.21%","空壳公司"
